name,mem,cpu,proc,storage,net,cost
x2iedn.metal,4096,128,Intel Xeon Scalable (Icelake),3800 GB                 (2 * 1900 GB NVMe SSD),100,26.676
x2iedn.24xlarge,3072,96,Intel Xeon Scalable (Icelake),2850 GB                 (2 * 1425 GB NVMe SSD),75,20.007
x2idn.32xlarge,2048,128,Intel Xeon Scalable (Icelake),3800 GB                 (2 * 1900 GB NVMe SSD),100,13.338
x2idn.metal,2048,128,Intel Xeon Scalable (Icelake),3800 GB                 (2 * 1900 GB NVMe SSD),100,13.338
x2iedn.16xlarge,2048,64,Intel Xeon Scalable (Icelake),1900 GB                 NVMe SSD,50,13.338
x2idn.24xlarge,1536,96,Intel Xeon Scalable (Icelake),2850 GB                 (2 * 1425 GB NVMe SSD),75,10.0035
x2idn.16xlarge,1024,64,Intel Xeon Scalable (Icelake),1900 GB                 NVMe SSD,50,6.669
x2iedn.8xlarge,1024,32,Intel Xeon Scalable (Icelake),950 GB                 NVMe SSD,25,6.669
x2iedn.4xlarge,512,16,Intel Xeon Scalable (Icelake),475 GB                 NVMe SSD,Up to 25,3.3345
x2iedn.2xlarge,256,8,Intel Xeon Scalable (Icelake),237 GB                 NVMe SSD,Up to 25,1.6672
x2iedn.xlarge,128,4,Intel Xeon Scalable (Icelake),118 GB                 NVMe SSD,Up to 25,0.8336
u-12tb1.112xlarge,12288,448,Intel Xeon Scalable (Skylake),EBS only,100,109.2
u-9tb1.112xlarge,9216,448,Intel Xeon Scalable (Skylake),EBS only,100,81.9
u-6tb1.112xlarge,6144,448,Intel Xeon Scalable (Skylake),EBS only,100,54.6
u-6tb1.56xlarge,6144,224,Intel Xeon Scalable (Skylake),EBS only,100,46.4039
u-3tb1.56xlarge,3072,224,Intel Xeon Scalable (Skylake),EBS only,50,27.3
